"Year","Reference_Number","Grid_Ref_Easting","Grid_Ref_Northing","Number_of_Vehicles","Number_of_Casualties","Accident_Date","Time","Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty","Type_of_Vehicle"
"2013","130013133","425321","443091","1","2","9_1_2013","2005","Unclassified","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Male","18","Car"
"2013","130013133","425321","443091","1","2","9_1_2013","2005","Unclassified","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Serious","Male","18","Car"
"2013","130013282","431869","435685","1","1","9_1_2013","1035","A (back roads)","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Slight","Female","16","Car"
"2013","130013285","428947","429853","1","1","8_1_2013","1010","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Slight","Female","75","Car"
"2013","130013323","430235","433212","3","2","10_1_2013","54","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Male","24","Car"
"2013","130013323","430235","433212","3","2","10_1_2013","54","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Male","23","Car"
"2013","130013458","431357","431611","1","1","8_1_2013","1230","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Slight","Male","23","Car"
"2013","130013524","424857","434439","1","1","10_1_2013","750","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Serious","Female","21","Car"
"2013","130013620","427573","434535","2","1","8_1_2013","1035","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","77","Car"
"2013","130014413","428390","429594","1","1","10_1_2013","1805","A (back roads)","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Pedestrian","Slight","Male","30","Car"
"2013","130014438","439405","432653","2","1","10_1_2013","1825","A (back roads)","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Male","15","Car"
"2013","130014550","431748","435495","1","1","10_1_2013","2111","A (back roads)","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Pedestrian","Slight","Male","13","Bus or coach"
"2013","130014771","425107","433759","2","4","10_1_2013","2310","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Male","49","Car"
"2013","130014771","425107","433759","2","4","10_1_2013","2310","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Male","42","Car"
"2013","130014771","425107","433759","2","4","10_1_2013","2310","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","32","Car"
"2013","130014771","425107","433759","2","4","10_1_2013","2310","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","30","Car"
"2013","130014783","430022","435532","2","1","10_1_2013","2110","Unclassified","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Serious","Male","39","Motorcycle >50cc and <=125cc"
"2013","130015073","426062","439287","2","2","11_1_2013","855","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","36","Car"
"2013","130015073","426062","439287","2","2","11_1_2013","855","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","41","Car"
"2013","130015448","428638","436981","2","1","10_1_2013","1145","B (regional road)","Wet","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","45","Motorcycle >50cc and <=125cc"
"2013","130015473","431905","435735","2","2","10_1_2013","2015","A (back roads)","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Male","32","Car"
"2013","130015473","431905","435735","2","2","10_1_2013","2015","A (back roads)","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Male","44","Car"
"2013","130015510","432274","438428","2","1","11_1_2013","930","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Slight","Male","36","Car"
"2013","130016050","426869","427278","2","1","11_1_2013","1740","Unclassified","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Serious","Male","32","Motorcycle <= 50cc"
"2013","130016089","427717","435890","3","5","11_1_2013","1700","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Female","86","Car"
"2013","130016089","427717","435890","3","5","11_1_2013","1700","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Female","55","Car"
"2013","130016089","427717","435890","3","5","11_1_2013","1700","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Female","27","Car"
"2013","130016089","427717","435890","3","5","11_1_2013","1700","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","82","Car"
"2013","130016089","427717","435890","3","5","11_1_2013","1700","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","72","Car"
"2013","130016242","430349","432102","2","1","11_1_2013","2045","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Male","28","Car"
"2013","130016386","424251","434478","2","1","11_1_2013","2152","Unclassified","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Female","24","Car"
"2013","130016396","426482","440266","1","1","11_1_2013","2100","Unclassified","Wet","Darkness (no streetlights)","Fog or mist","Driver or rider","Slight","Female","20","Car"
"2013","130016942","435674","434803","2","3","12_1_2013","1020","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","29","Car"
"2013","130016942","435674","434803","2","3","12_1_2013","1020","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","53","Car"
"2013","130016942","435674","434803","2","3","12_1_2013","1020","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Male","29","Car"
